 	University 	num. rows 	num. emails 	num. missing emails
100.Yeshiva_University.csv 	3279 	2641 	0
40.Rutgers_The_State_University_of_New_Jersey.csv 	5575 	3325 	733
71.University_of_Houston.csv 	1465 	1347 	0
10.Columbia_University.csv 	3653 	3109 	0
41.Stanford_University.csv 	2173 	1858 	1
72.University_of_Illinois_Chicago.csv 	2872 	2401 	292
11.Cornell_University.csv 	4654 	3440 	280
42.Stony_Brook_University.csv 	570 	474 	81
73.University_of_Illinois_Urbana_Champaign.csv 	2116 	1729 	255
12.Dartmouth_College.csv 	1164 	932 	0
43.Syracuse_University.csv 	1534 	1366 	0
74.University_of_Iowa.csv 	1769 	1338 	179
13.Drexel_University.csv 	1613 	1481 	0
44.Temple_University.csv 	2350 	1941 	302
75.University_of_Kansas.csv 	1833 	1498 	43
14.Duke_University.csv 	2109 	1640 	0
45.Texas_AM_University.csv 	5357 	3959 	344
76.University_of_Maryland.csv 	3403 	2309 	267
15.Emory_University.csv 	1028 	713 	0
46.The_University_of_Tennessee_Knoxville.csv 	2157 	1989 	21
77.University_of_Massachusetts.csv 	1200 	1026 	20
16.Florida_State_University.csv 	2245 	1857 	0
47.The_University_of_Texas_at_Austin.csv 	5924 	4820 	601
78.University_of_Miami.csv 	1749 	1343 	250
17.George_Washington_University.csv 	1840 	1177 	459
48.Tufts_University.csv 	1354 	993 	44
79.University_of_Michigan.csv 	2523 	2260 	197
18.Georgetown_University.csv 	774 	297 	418
49.University_at_Buffalo.csv 	2517 	2240 	216
7.Case_Western_Reserve_University.csv 	867 	777 	0
19.Georgia_Institute_of_Technology.csv 	1470 	1276 	0
4.Brown_University.csv 	4022 	3002 	0
80.University_of_Minnesota.csv 	3168 	2684 	107
1.Arizona_State_University.csv 	1969 	1862 	0
50.University_of_Alabama.csv 	945 	822 	70
81.University_of_Nebraska.csv 	3068 	1942 	175
20.Harvard_University.csv 	1148 	1008 	0
51.University_of_Arizona.csv 	4625 	3254 	287
82.University_of_New_Hampshire.csv 	1517 	1196 	85
21.Indiana_University_Bloomington.csv 	2008 	1844 	59
52.University_of_Arkansas.csv 	1634 	1631 	2
83.University_of_New_Mexico.csv 	2642 	2060 	533
22.Iowa_State_University.csv 	4284 	2457 	86
53.University_of_California_Berkeley.csv 	6212 	2898 	977
84.University_of_North_Carolina_Chapel Hill.csv 	3688 	2583 	698
23.Johns_Hopkins_University.csv 	6201 	2791 	1
54.University_of_California_Davis.csv 	3191 	2399 	316
85.University_of_Notre_Dame.csv 	1617 	1172 	191
24.MD_Anderson_Cancer_Center_University_of_Texas.csv 	1881 	1323 	298
55.University_of_California_Irvine.csv 	1989 	1434 	357
86.University_of_Pennsylvania.csv 	5923 	4200 	1529
25.Massachusetts_Institute_of_Technology.csv 	1986 	1472 	59
56.University_of_California_Los_Angeles.csv 	4356 	2888 	792
87.University_of_Pittsburgh.csv 	5158 	3522 	780
26.Michigan_State_University.csv 	2180 	2063 	88
57.University_of_California_Riverside.csv 	1826 	990 	217
88.University_of_Rochester.csv 	1020 	738 	12
27.New_York_University.csv 	1858 	1303 	265
58.University_of_California_San_Diego.csv 	3805 	2518 	443
89.University_of_South_Florida.csv 	1264 	1001 	111
28.North_Carolina_State_University.csv 	2847 	2579 	0
59.University_of_California_San_Francisco.csv 	3138 	2386 	598
8.City_University_of_New_York.csv 	2059 	1979 	62
29.Northeastern_University.csv 	1289 	1226 	0
5.California_Institute_of_Technology.csv 	423 	364 	0
90.University_of_Southern_California.csv 	6632 	5181 	1040
2.Baylor_College_of_Medicine.csv 	2423 	1959 	0
60.University_of_California_Santa_Barbara.csv 	1477 	1144 	91
91.University_of_Utah.csv 	3528 	2966 	38
30.Northwestern_University.csv 	6293 	5383 	3
61.University_of_California_Santa_Cruz.csv 	914 	727 	15
92.University_of_Vermont.csv 	1350 	1001 	0
31.Ohio_State_University.csv 	6793 	3777 	0
62.University_of_Central_Florida.csv 	3882 	1684 	2112
93.University_of_Virginia.csv 	2653 	1910 	0
32.Oregon_Health _ Science_University.csv 	2087 	1011 	0
63.University_of_Chicago.csv 	2866 	1871 	417
94.University_of_Washington.csv 	5989 	4136 	830
33.Oregon_State_University.csv 	2796 	1937 	0
64.University_of_Cincinnati.csv 	1714 	1529 	0
95.University_of_Wisconsin_Madison.csv 	4732 	3182 	666
34.Pennsylvania_State_University.csv 	3866 	3672 	0
65.University_of_Colorado.csv 	467 	408 	0
96.Vanderbilt_University.csv 	1086 	903 	0
35.Princeton_University.csv 	842 	712 	0
66.University_of_Connecticut.csv 	3545 	2450 	0
97.Virginia_Polytechnic_Institute_and_State_University.csv 	2373 	2041 	5
36.Purdue_University.csv 	4835 	4579 	0
67.University_of_Delaware.csv 	1634 	1393 	0
98.Washington_University_Saint_Louis.csv 	5237 	3614 	0
37.Rensselaer_Polytechnic_Institute.csv 	531 	444 	0
68.University_of_Florida.csv 	3443 	2723 	0
99.Yale_University.csv 	6153 	3512 	0
38.Rice_University.csv 	2673 	1457 	0
69.University_of_Georgia.csv 	3090 	2755 	0
9.Colorado_State_University.csv 	775 	693 	0
39.Rockefeller_University.csv 	182 	79 	0
6.Carnegie_Mellon_University.csv 	2101 	1624 	0
3.Boston_University.csv 	2121 	1300 	0
70.University_of_Hawaii.csv 	2454 	1576 	0
